Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
21.6500     -1190579.27  -1190647.05        67.78   305.6
21.7000     -1190584.70  -1190648.35        63.65   287.0
21.7500     -1190583.63  -1190649.74        66.11   298.0
21.8000     -1190579.67  -1190646.41        66.74   300.9
21.8500     -1190581.52  -1190647.51        65.99   297.5
21.9000     -1190578.40  -1190646.45        68.06   306.8
21.9500     -1190581.16  -1190647.42        66.26   298.7
22.0000     -1190585.19  -1190648.46        63.27   285.2
22.0500     -1190576.61  -1190646.42        69.82   314.8
22.1000     -1190581.97  -1190646.58        64.61   291.3
22.1500     -1190582.87  -1190648.99        66.12   298.1
22.2000     -1190579.49  -1190645.80        66.31   298.9
22.2500     -1190579.82  -1190645.41        65.59   295.7
22.3000     -1190577.55  -1190644.43        66.88   301.5
22.3500     -1190577.43  -1190642.83        65.40   294.8
22.4000     -1190579.38  -1190646.74        67.36   303.7
22.4500     -1190582.88  -1190650.22        67.34   303.6
22.5000     -1190584.84  -1190649.39        64.55   291.0
22.5500     -1190580.70  -1190647.61        66.92   301.7
22.6000     -1190578.89  -1190644.57        65.68   296.1
22.6500     -1190582.39  -1190646.34        63.94   288.3
22.7000     -1190579.69  -1190648.45        68.76   310.0
22.7500     -1190580.29  -1190646.76        66.47   299.7
22.8000     -1190580.49  -1190646.21        65.72   296.3
22.8500     -1190578.69  -1190646.51        67.82   305.7
22.9000     -1190581.69  -1190648.02        66.34   299.1
22.9500     -1190582.63  -1190649.31        66.67   300.6
23.0000     -1190585.00  -1190649.88        64.88   292.5
23.0500     -1190580.60  -1190646.62        66.03   297.7
23.1000     -1190580.77  -1190646.72        65.95   297.3
23.1500     -1190582.95  -1190648.29        65.34   294.6
23.2000     -1190581.94  -1190648.92        66.97   301.9
23.2500     -1190579.14  -1190645.91        66.77   301.0
23.3000     -1190581.35  -1190646.25        64.90   292.6
23.3500     -1190582.67  -1190648.56        65.89   297.1
23.4000     -1190581.39  -1190648.84        67.45   304.1
23.4500     -1190580.09  -1190647.09        67.00   302.1
23.5000     -1190583.99  -1190650.55        66.56   300.1
23.5500     -1190582.32  -1190649.82        67.50   304.3
23.6000     -1190580.98  -1190647.17        66.19   298.4
23.6500     -1190583.45  -1190648.97        65.52   295.4
23.7000     -1190583.58  -1190649.97        66.39   299.3
23.7500     -1190582.21  -1190649.99        67.78   305.6
23.8000     -1190582.13  -1190649.83        67.70   305.2
23.8500     -1190581.07  -1190647.45        66.38   299.3
23.9000     -1190579.62  -1190647.63        68.01   306.6
23.9500     -1190579.57  -1190646.81        67.24   303.1
24.0000     -1190581.93  -1190647.81        65.88   297.0
24.0500     -1190584.72  -1190651.84        67.12   302.6
24.1000     -1190584.36  -1190651.30        66.94   301.8
24.1500     -1190578.26  -1190646.77        68.51   308.9
24.2000     -1190582.35  -1190649.12        66.78   301.1
24.2500     -1190583.61  -1190650.15        66.54   300.0
24.3000     -1190583.01  -1190648.83        65.82   296.7
24.3500     -1190581.45  -1190647.91        66.46   299.6
24.4000     -1190581.56  -1190648.07        66.52   299.9
24.4500     -1190581.94  -1190648.25        66.31   299.0
24.5000     -1190582.11  -1190649.58        67.47   304.2
24.5500     -1190583.42  -1190648.31        64.89   292.5
24.6000     -1190582.35  -1190649.37        67.02   302.2
24.6500     -1190584.68  -1190647.91        63.23   285.1
24.7000     -1190579.79  -1190648.48        68.69   309.7
24.7500     -1190581.75  -1190650.24        68.49   308.8
24.8000     -1190585.09  -1190653.47        68.38   308.3
24.8500     -1190584.55  -1190650.35        65.81   296.7
24.9000     -1190579.72  -1190646.59        66.87   301.5
24.9500     -1190581.58  -1190649.63        68.04   306.8
25.0000     -1190583.17  -1190649.85        66.68   300.6
25.0500     -1190581.98  -1190646.12        64.14   289.2
